Asset,Backup_Type,Last_Successful_Backup,Immutability,Restore_Test_Last_Date,RPO_Target,RPO_Status,Notes
AD01,System State,2026-04-17 02:00,No,2025-11-10,4h,Violation,Backup ancien et possiblement contamine
AD02,System State,2026-05-29 02:00,No,2025-11-10,4h,Violation,Non immuable
DNS01,Config export,2026-06-01 03:00,No,2026-01-15,4h,Violation,Zone AD-integree; export partiel
PKI01,CA backup,2026-05-01 01:00,No,2025-09-15,24h,Violation,CRL/keys a verifier
VCENTER01,VCSA backup,2026-06-08 00:30,Yes,2026-03-12,24h,OK,Vault copy disponible
ERPDB,RMAN full + logs,2026-06-08 07:45,Yes,2026-04-20,15m,OK?,"Catalogue backup OK, mais depend de wallet Oracle"
ORDERDB,PITR,2026-06-08 08:00,No,2026-02-03,15m,"OK in cloud, not immutable",Cloud PITR disponible mais compte admin compromis possible
ORDERDB,Immutable copy,2026-06-08 01:00,Yes,Never,15m,Violation,Replication immutable arretee a 01:00
SAP-ERP,VM image,2026-06-08 00:15,Yes,2026-03-12,4h,OK,VM-ERP02 protection incertaine
API-GW,Config Git,2026-06-06 23:00,No,Never,4h,Violation,Config non presente dans vault
ECOM-WEB,Container image,2026-06-07 22:00,Yes,2026-05-20,24h,OK,Stateless
SECRETS-VAULT,Config export,2026-06-07 02:00,No,Never,4h,Violation,Risque de blocage du redeploiement
MQ-BROKER,VM daily + config,2026-06-07 01:00,Yes,2026-01-17,8h,Violation,Perte possible messages
WMS,VM daily,2026-06-07 01:00,Yes,2025-12-05,1h,Violation,Contradiction avec BIA P03 RPO 1h
